Sequence	Result
tev_p2_wt_relaxed_3.pdb	UNCLEAVED
tev_p2_wt_relaxed_6.pdb	UNCLEAVED
tev_p2_wt_relaxed_0.pdb	UNCLEAVED
tev_p2_wt_relaxed_8.pdb	UNCLEAVED
tev_p2_wt_relaxed_7.pdb	UNCLEAVED
tev_p2_wt_relaxed_5.pdb	UNCLEAVED
tev_p2_wt_relaxed_1.pdb	UNCLEAVED
tev_p2_wt_relaxed_2.pdb	UNCLEAVED
tev_p2_wt_relaxed_4.pdb	UNCLEAVED
tev_p2_wt_relaxed_9.pdb	UNCLEAVED
tev_p6_c3_relaxed_2.pdb	CLEAVED
tev_p6_c3_relaxed_6.pdb	CLEAVED
tev_p6_c3_relaxed_7.pdb	CLEAVED
tev_p6_c3_relaxed_3.pdb	CLEAVED
tev_p6_c3_relaxed_4.pdb	CLEAVED
tev_p6_c3_relaxed_0.pdb	CLEAVED
tev_p6_c3_relaxed_5.pdb	CLEAVED
tev_p6_c3_relaxed_8.pdb	CLEAVED
tev_p6_c3_relaxed_9.pdb	CLEAVED
tev_p6_c3_relaxed_1.pdb	CLEAVED
tev_p6_wt_relaxed_7.pdb	UNCLEAVED
tev_p6_wt_relaxed_2.pdb	UNCLEAVED
tev_p6_wt_relaxed_9.pdb	UNCLEAVED
tev_p6_wt_relaxed_8.pdb	UNCLEAVED
tev_p6_wt_relaxed_6.pdb	UNCLEAVED
tev_p6_wt_relaxed_1.pdb	UNCLEAVED
tev_p6_wt_relaxed_3.pdb	UNCLEAVED
tev_p6_wt_relaxed_5.pdb	UNCLEAVED
tev_p6_wt_relaxed_0.pdb	UNCLEAVED
tev_p6_wt_relaxed_4.pdb	UNCLEAVED
tev_p6_c2_relaxed_4.pdb	CLEAVED
tev_p6_c2_relaxed_6.pdb	CLEAVED
tev_p6_c2_relaxed_1.pdb	CLEAVED
tev_p6_c2_relaxed_7.pdb	CLEAVED
tev_p6_c2_relaxed_8.pdb	CLEAVED
tev_p6_c2_relaxed_5.pdb	CLEAVED
tev_p6_c2_relaxed_2.pdb	CLEAVED
tev_p6_c2_relaxed_0.pdb	CLEAVED
tev_p6_c2_relaxed_3.pdb	CLEAVED
tev_p6_c2_relaxed_9.pdb	CLEAVED
tev_p6_c5_relaxed_0.pdb	CLEAVED
tev_p6_c5_relaxed_5.pdb	CLEAVED
tev_p6_c5_relaxed_7.pdb	CLEAVED
tev_p6_c5_relaxed_9.pdb	CLEAVED
tev_p6_c5_relaxed_6.pdb	CLEAVED
tev_p6_c5_relaxed_8.pdb	CLEAVED
tev_p6_c5_relaxed_3.pdb	CLEAVED
tev_p6_c5_relaxed_1.pdb	CLEAVED
tev_p6_c5_relaxed_4.pdb	CLEAVED
tev_p6_c5_relaxed_2.pdb	CLEAVED
tev_p2_c10_relaxed_5.pdb	CLEAVED
tev_p2_c10_relaxed_7.pdb	CLEAVED
tev_p2_c10_relaxed_9.pdb	CLEAVED
tev_p2_c10_relaxed_4.pdb	CLEAVED
tev_p2_c10_relaxed_6.pdb	CLEAVED
tev_p2_c10_relaxed_2.pdb	CLEAVED
tev_p2_c10_relaxed_8.pdb	CLEAVED
tev_p2_c10_relaxed_1.pdb	CLEAVED
tev_p2_c10_relaxed_0.pdb	CLEAVED
tev_p2_c10_relaxed_3.pdb	CLEAVED
tev_p2_c9_relaxed_9.pdb	CLEAVED
tev_p2_c9_relaxed_4.pdb	CLEAVED
tev_p2_c9_relaxed_3.pdb	CLEAVED
tev_p2_c9_relaxed_7.pdb	CLEAVED
tev_p2_c9_relaxed_0.pdb	CLEAVED
tev_p2_c9_relaxed_5.pdb	CLEAVED
tev_p2_c9_relaxed_8.pdb	CLEAVED
tev_p2_c9_relaxed_1.pdb	CLEAVED
tev_p2_c9_relaxed_6.pdb	CLEAVED
tev_p2_c9_relaxed_2.pdb	CLEAVED
tev_wt_wt_relaxed_0.pdb	CLEAVED
tev_wt_wt_relaxed_1.pdb	CLEAVED
tev_wt_wt_relaxed_9.pdb	CLEAVED
tev_wt_wt_relaxed_5.pdb	CLEAVED
tev_wt_wt_relaxed_8.pdb	CLEAVED
tev_wt_wt_relaxed_7.pdb	CLEAVED
tev_wt_wt_relaxed_2.pdb	CLEAVED
tev_wt_wt_relaxed_6.pdb	CLEAVED
tev_wt_wt_relaxed_4.pdb	CLEAVED
tev_wt_wt_relaxed_3.pdb	CLEAVED
tev_p2_c2_relaxed_8.pdb	CLEAVED
tev_p2_c2_relaxed_1.pdb	CLEAVED
tev_p2_c2_relaxed_5.pdb	CLEAVED
tev_p2_c2_relaxed_0.pdb	CLEAVED
tev_p2_c2_relaxed_4.pdb	CLEAVED
tev_p2_c2_relaxed_3.pdb	CLEAVED
tev_p2_c2_relaxed_9.pdb	CLEAVED
tev_p2_c2_relaxed_2.pdb	CLEAVED
tev_p2_c2_relaxed_6.pdb	CLEAVED
tev_p2_c2_relaxed_7.pdb	CLEAVED
tev_p6_c7_relaxed_7.pdb	CLEAVED
tev_p6_c7_relaxed_6.pdb	CLEAVED
tev_p6_c7_relaxed_9.pdb	CLEAVED
tev_p6_c7_relaxed_8.pdb	CLEAVED
tev_p6_c7_relaxed_3.pdb	CLEAVED
tev_p6_c7_relaxed_0.pdb	CLEAVED
tev_p6_c7_relaxed_5.pdb	CLEAVED
tev_p6_c7_relaxed_1.pdb	CLEAVED
tev_p6_c7_relaxed_4.pdb	CLEAVED
tev_p6_c7_relaxed_2.pdb	CLEAVED
tev_p6_c8_relaxed_1.pdb	CLEAVED
tev_p6_c8_relaxed_5.pdb	CLEAVED
tev_p6_c8_relaxed_4.pdb	CLEAVED
tev_p6_c8_relaxed_0.pdb	CLEAVED
tev_p6_c8_relaxed_3.pdb	CLEAVED
tev_p6_c8_relaxed_9.pdb	CLEAVED
tev_p6_c8_relaxed_7.pdb	CLEAVED
tev_p6_c8_relaxed_6.pdb	CLEAVED
tev_p6_c8_relaxed_2.pdb	CLEAVED
tev_p6_c8_relaxed_8.pdb	CLEAVED
