Sequence	Result
p2_c2_5.pdb	CLEAVED
p2_c2_2.pdb	CLEAVED
p2_c2_4.pdb	CLEAVED
p2_c2_7.pdb	CLEAVED
p2_c2_8.pdb	CLEAVED
p2_c2_1.pdb	CLEAVED
p2_c2_0.pdb	CLEAVED
p2_c2_3.pdb	CLEAVED
p2_c2_6.pdb	CLEAVED
p2_c2_9.pdb	CLEAVED
wt_wt_2.pdb	CLEAVED
wt_wt_4.pdb	CLEAVED
wt_wt_5.pdb	CLEAVED
wt_wt_6.pdb	CLEAVED
wt_wt_1.pdb	CLEAVED
wt_wt_8.pdb	CLEAVED
wt_wt_0.pdb	CLEAVED
wt_wt_9.pdb	CLEAVED
wt_wt_7.pdb	CLEAVED
wt_wt_3.pdb	CLEAVED
p6_c5_6.pdb	CLEAVED
p6_c5_9.pdb	CLEAVED
p6_c5_7.pdb	CLEAVED
p6_c5_8.pdb	CLEAVED
p6_c5_5.pdb	CLEAVED
p6_c5_1.pdb	CLEAVED
p6_c5_0.pdb	CLEAVED
p6_c5_2.pdb	CLEAVED
p6_c5_4.pdb	CLEAVED
p6_c5_3.pdb	CLEAVED
p2_c9_4.pdb	CLEAVED
p2_c9_3.pdb	CLEAVED
p2_c9_5.pdb	CLEAVED
p2_c9_9.pdb	CLEAVED
p2_c9_6.pdb	CLEAVED
p2_c9_8.pdb	CLEAVED
p2_c9_0.pdb	CLEAVED
p2_c9_2.pdb	CLEAVED
p2_c9_7.pdb	CLEAVED
p2_c9_1.pdb	CLEAVED
P6_c3_9.pdb	CLEAVED
P6_c3_3.pdb	CLEAVED
P6_c3_1.pdb	CLEAVED
P6_c3_0.pdb	CLEAVED
P6_c3_4.pdb	CLEAVED
P6_c3_5.pdb	CLEAVED
P6_c3_2.pdb	CLEAVED
P6_c3_7.pdb	CLEAVED
P6_c3_6.pdb	CLEAVED
P6_c3_8.pdb	CLEAVED
p6_c7_7.pdb	CLEAVED
p6_c7_3.pdb	CLEAVED
p6_c7_0.pdb	CLEAVED
p6_c7_5.pdb	CLEAVED
p6_c7_9.pdb	CLEAVED
p6_c7_1.pdb	CLEAVED
p6_c7_8.pdb	CLEAVED
p6_c7_2.pdb	CLEAVED
p6_c7_4.pdb	CLEAVED
p6_c7_6.pdb	CLEAVED
p2_wt_8.pdb	UNCLEAVED
p2_wt_4.pdb	UNCLEAVED
p2_wt_1.pdb	UNCLEAVED
p2_wt_0.pdb	UNCLEAVED
