Sequence	Result
ADLMDDC.ASHL	Cleaved
ADLMDEC.ASHL	Cleaved
ADVFQPC.ASHL	Cleaved
AVEIEVC.ASHL	Cleaved
ANTWTTC.ASHL	Cleaved
AVEIEDC.ASHL	Cleaved
AVEIEEC.ASHL	Cleaved
ARMWIPC.ASHL	Cleaved
AHSLWTC.ASHL	Cleaved
APSNMAC.ASHL	Cleaved
AHQYHTC.ASHL	Cleaved
AISVIPC.ASHL	Cleaved
ATSFTQC.ASHL	Cleaved
AFSTAPC.ASHL	Cleaved
ANQTSHC.ASHL	Cleaved
ADLMDVC.ASHL	Cleaved
APRSMYC.ASHL	Cleaved
ANHAYPC.ASHL	Cleaved
ATAQVCC.ASHL	Cleaved
ARPMSLC.ASHL	Cleaved
AQDVQPC.ASHL	Cleaved
AVSTNFC.ASHL	Cleaved
ALKVHTC.ASHL	Cleaved
AMSLQTC.ASHL	Cleaved
ACYWTYC.ASHL	Cleaved
ATRTLDC.ASHL	Cleaved
ASDYDLC.ASHL	Cleaved
AQNQVNC.ASHL	Cleaved
AKCNIPC.ASHL	Cleaved
AHKTEPC.ASHL	Cleaved
ADYMYLC.ASHL	Cleaved
ASQALLC.ASHL	Cleaved
ADYMYDC.ASHL	Cleaved
ADYMYEC.ASHL	Cleaved
ADYMYYC.ASHL	Cleaved
AHTWDAC.ASHL	Cleaved
ADYMYVC.ASHL	Cleaved
AVEFEEC.ASHL	Cleaved
AATKNCC.ASHL	Cleaved
ATYEVGC.ASHL	Cleaved
APSQYLC.ASHL	Cleaved
ADLHIPC.ASHL	Cleaved
ADNDYNC.ASHL	Cleaved
ADYMFEC.ASHL	Cleaved
AASNMNC.ASHL	Cleaved
AEVRTRC.ASHL	Cleaved
AITQITC.ASHL	Cleaved
ADAQMCC.ASHL	Cleaved
ATNTNLC.ASHL	Cleaved
ASSMQQC.ASHL	Cleaved
AQLCRPC.ASHL	Cleaved
AQGISLC.ASHL	Cleaved
AQSFYPC.ASHL	Cleaved
AAYTINC.ASHL	Cleaved
AHQVFPC.ASHL	Cleaved
ALTTLAC.ASHL	Cleaved
ARETSLC.ASHL	Cleaved
AQSMQPC.ASHL	Cleaved
AQTTLSC.ASHL	Cleaved
AAKVQLC.ASHL	Cleaved
AQTMWDC.ASHL	Cleaved
APNQISC.ASHL	Cleaved
APNQILC.ASHL	Cleaved
APALSAC.ASHL	Cleaved
AFDIVYC.ASHL	Cleaved
AYTHNNC.ASHL	Cleaved
AHTFNPC.ASHL	Cleaved
ALLFPMC.ASHL	Cleaved
AYYLVDC.ASHL	Cleaved
AEETKPC.ASHL	Cleaved
ARTTTEC.ASHL	Cleaved
AHNQYPC.ASHL	Cleaved
ANRYTNC.ASHL	Cleaved
AGMPIPC.ASHL	Cleaved
APNLTNC.ASHL	Cleaved
APNLTYC.ASHL	Cleaved
AATLIGC.ASHL	Cleaved
ANALTQC.ASHL	Cleaved
ANALTIC.ASHL	Cleaved
APTLTPC.ASHL	Cleaved
APTLTDC.ASHL	Cleaved
AGELTIC.ASHL	Cleaved
ARDSTLC.ASHL	Cleaved
ALTAELC.ASHL	Cleaved
AHYSQTC.ASHL	Cleaved
ASHTRLC.ASHL	Cleaved
ASTMQNC.ASHL	Cleaved
AKTQICC.ASHL	Cleaved
AHYTITC.ASHL	Cleaved
AHYTIVC.ASHL	Cleaved
ALRIFPC.ASHL	Cleaved
AMHINNC.ASHL	Cleaved
AVLMDDC.ASHL	Cleaved
ATSLDPC.ASHL	Cleaved
ADEMVYC.ASHL	Cleaved
AYTTEQC.ASHL	Cleaved
ADDMFDC.ASHL	Cleaved
ADDMFEC.ASHL	Cleaved
ADDMFYC.ASHL	Cleaved
ATTIINC.ASHL	Cleaved
AKHSIYC.ASHL	Cleaved
ADEMVVC.ASHL	Cleaved
AQETAPC.ASHL	Cleaved
ANMYYPC.ASHL	Cleaved
ASQCLKC.ASHL	Cleaved
ANNLDYC.ASHL	Cleaved
ASYQTPC.ASHL	Cleaved
ATELFYC.ASHL	Cleaved
APATLTC.ASHL	Cleaved
ASLSVLC.ASHL	Cleaved
AEAITSC.ASHL	Cleaved
ACNTISC.ASHL	Cleaved
ATLLTLC.ASHL	Cleaved
ATLLTPC.ASHL	Cleaved
ATNAVPC.ASHL	Cleaved
AVDMLVC.ASHL	Cleaved
AVDMLDC.ASHL	Cleaved
ANTYWKC.ASHL	Cleaved
AHYITNC.ASHL	Cleaved
AHYITEC.ASHL	Cleaved
AHNTQPC.ASHL	Cleaved
AHNTQLC.ASHL	Cleaved
AHNTQHC.ASHL	Cleaved
AQTPIPC.ASHL	Cleaved
ASYLTAC.ASHL	Cleaved
AYELEDC.ASHL	Cleaved
AYELEVC.ASHL	Cleaved
AEYMEDC.ASHL	Cleaved
AQSLRPC.ASHL	Cleaved
AHKLTAC.ASHL	Cleaved
AHKLTMC.ASHL	Cleaved
AFDLDYC.ASHL	Cleaved
AYTIMQC.ASHL	Cleaved
ADFIYYC.ASHL	Cleaved
ADFIYDC.ASHL	Cleaved
ADFIYFC.ASHL	Cleaved
AETLRCC.ASHL	Cleaved
APSIEIC.ASHL	Cleaved
ATGPEFC.ASHL	Cleaved
ATSHVNC.ASHL	Cleaved
AFIAEYC.ASHL	Cleaved
APSVHTC.ASHL	Cleaved
ASIIDNC.ASHL	Cleaved
AVYLDYC.ASHL	Cleaved
AVYLDEC.ASHL	Cleaved
ATNELQC.ASHL	Cleaved
AHEPILC.ASHL	Cleaved
AETIFAC.ASHL	Cleaved
ANNVRPC.ASHL	Cleaved
APRVSLC.ASHL	Cleaved
AMICNDC.ASHL	Cleaved
AAKAILC.ASHL	Cleaved
AVSLEQC.ASHL	Cleaved
ADRETQC.ASHL	Cleaved
ANIPTPC.ASHL	Cleaved
AKYTTTC.ASHL	Cleaved
AELLMTC.ASHL	Cleaved
ATLDLPC.ASHL	Cleaved
AESHCNC.ASHL	Cleaved
ALTLLPC.ASHL	Cleaved
ADQMEDC.ASHL	Cleaved
ADQMEEC.ASHL	Cleaved
ADFIDYC.ASHL	Cleaved
AVEMVVC.ASHL	Cleaved
AANNIIC.ASHL	Cleaved
AVEMVEC.ASHL	Cleaved
AVEMVDC.ASHL	Cleaved
AVKTQNC.ASHL	Cleaved
AIKTMLC.ASHL	Cleaved
AIQTVSC.ASHL	Cleaved
ADDLEDC.ASHL	Cleaved
ADDLEEC.ASHL	Cleaved
AQQSQAC.ASHL	Cleaved
ADDLEVC.ASHL	Cleaved
AESPQNC.ASHL	Cleaved
AYVIEVC.ASHL	Cleaved
ALFMYPC.ASHL	Cleaved
ANTTLLC.ASHL	Cleaved
AGTVYCC.ASHL	Cleaved
ATNLKPC.ASHL	Cleaved
ALQTQNC.ASHL	Cleaved
AVYTQHC.ASHL	Cleaved
AYSAPSC.ASHL	Cleaved
ACNIEYC.ASHL	Cleaved
AKIWQNC.ASHL	Cleaved
ARQTTPC.ASHL	Cleaved
APEDIEC.ASHL	Cleaved
ARSIVAC.ASHL	Cleaved
ALSQQPC.ASHL	Cleaved
AFYLYYC.ASHL	Cleaved
ASAWHHC.ASHL	Cleaved
AFYLYDC.ASHL	Cleaved
ASNHIHC.ASHL	Cleaved
ADKCYTC.ASHL	Cleaved
AYTLTTC.ASHL	Cleaved
AKTTTNC.ASHL	Cleaved
ATSTTIC.ASHL	Cleaved
AERAQPC.ASHL	Cleaved
AIDTTEC.ASHL	Cleaved
AYLGIQC.ASHL	Cleaved
ADYMADC.ASHL	Cleaved
AETMQPC.ASHL	Cleaved
AHTLNPC.ASHL	Cleaved
AICPVQC.ASHL	Cleaved
ADYLEVC.ASHL	Cleaved
ADYLEYC.ASHL	Cleaved
AVYTLAC.ASHL	Cleaved
ADYLEEC.ASHL	Cleaved
ADYLEDC.ASHL	Cleaved
ADSCVNC.ASHL	Cleaved
AYTQTPC.ASHL	Cleaved
APTTYQC.ASHL	Cleaved
ANRFHTC.ASHL	Cleaved
ADEMHDC.ASHL	Cleaved
AHTIHSC.ASHL	Cleaved
APSDLAC.ASHL	Cleaved
ARWTANC.ASHL	Cleaved
ALVLSTC.ASHL	Cleaved
ATNNSNC.ASHL	Cleaved
ARYNSPC.ASHL	Cleaved
AATYLPC.ASHL	Cleaved
AQFMQPC.ASHL	Cleaved
ADSTTLC.ASHL	Cleaved
AQSMLSC.ASHL	Cleaved
ATLQAPC.ASHL	Cleaved
AFYLDDC.ASHL	Cleaved
APILMTC.ASHL	Cleaved
AVHSVIC.ASHL	Cleaved
ATNTVTC.ASHL	Cleaved
ATNTVSC.ASHL	Cleaved
ASSMIVC.ASHL	Cleaved
ADDFLDC.ASHL	Cleaved
AQTTTPC.ASHL	Cleaved
ASPHYRC.ASHL	Cleaved
APGYQTC.ASHL	Cleaved
AICPKMC.ASHL	Cleaved
ASVWMTC.ASHL	Cleaved
ATISDLC.ASHL	Cleaved
AHTTLQC.ASHL	Cleaved
AHTTLAC.ASHL	Cleaved
ARYTANC.ASHL	Cleaved
AHTTLKC.ASHL	Cleaved
ANRSITC.ASHL	Cleaved
ATNNHAC.ASHL	Cleaved
ADLQQPC.ASHL	Cleaved
AAQTANC.ASHL	Cleaved
ADVIDVC.ASHL	Cleaved
APSLTVC.ASHL	Cleaved
APSLTWC.ASHL	Cleaved
ADVIDDC.ASHL	Cleaved
ADVIDEC.ASHL	Cleaved
APSLTLC.ASHL	Cleaved
AMSYTKC.ASHL	Cleaved
AYALSNC.ASHL	Cleaved
APELTPC.ASHL	Cleaved
APIPRLC.ASHL	Cleaved
ADHTPRC.ASHL	Cleaved
AVDIVYC.ASHL	Cleaved
AVDIVDC.ASHL	Cleaved
AVDIVEC.ASHL	Cleaved
ADSRVQC.ASHL	Cleaved
APKLTEC.ASHL	Cleaved
APKLTPC.ASHL	Cleaved
APKLTQC.ASHL	Cleaved
ASKTVTC.ASHL	Cleaved
ALSVTLC.ASHL	Cleaved
ALNFMPC.ASHL	Cleaved
APTFRQC.ASHL	Cleaved
AFDIEEC.ASHL	Cleaved
AHYTQNC.ASHL	Cleaved
ALMLMTC.ASHL	Cleaved
ASSTENC.ASHL	Cleaved
ATTQITC.ASHL	Cleaved
AHTTQVC.ASHL	Cleaved
AHTTQTC.ASHL	Cleaved
AHTTQQC.ASHL	Cleaved
AHTTQYC.ASHL	Cleaved
AVRLHAC.ASHL	Cleaved
