Sequence	Result
hcv_no_swap_sub_1_31_relaxed_0.pdb	CLEAVED
hcv_all_swap_sub_1_11_relaxed_1.pdb	CLEAVED
hcv_all_swap_design_1_81_designed_1.pdb	CLEAVED
hcv_all_swap_design_3_9_designed_4.pdb	CLEAVED
hcv_all_swap_design_1_94_designed_3.pdb	CLEAVED
hcv_all_swap_design_3_67_designed_3.pdb	CLEAVED
hcv_all_swap_design_3_21_designed_4.pdb	CLEAVED
hcv_all_swap_design_3_7_designed_1.pdb	CLEAVED
hcv_all_swap_design_0_57_designed_0.pdb	CLEAVED
hcv_all_swap_design_3_47_designed_1.pdb	CLEAVED
hcv_all_swap_design_3_0_designed_7.pdb	CLEAVED
hcv_all_swap_design_3_29_designed_8.pdb	CLEAVED
hcv_all_swap_design_1_48_designed_3.pdb	CLEAVED
hcv_all_swap_design_3_55_designed_6.pdb	CLEAVED
hcv_all_swap_design_3_60_designed_9.pdb	CLEAVED
hcv_all_swap_design_3_93_designed_0.pdb	CLEAVED
hcv_all_swap_design_1_87_designed_3.pdb	CLEAVED
hcv_all_swap_design_3_84_designed_3.pdb	CLEAVED
hcv_all_swap_design_3_59_designed_1.pdb	CLEAVED
hcv_all_swap_design_3_20_designed_8.pdb	CLEAVED
hcv_all_swap_design_3_35_designed_4.pdb	CLEAVED
hcv_all_swap_design_3_56_designed_2.pdb	CLEAVED
hcv_all_swap_design_3_0_designed_6.pdb	CLEAVED
hcv_all_swap_design_0_97_designed_2.pdb	CLEAVED
hcv_all_swap_design_3_71_designed_3.pdb	CLEAVED
hcv_all_swap_design_3_62_designed_5.pdb	CLEAVED
hcv_all_swap_design_3_52_designed_3.pdb	CLEAVED
hcv_all_swap_design_3_14_designed_7.pdb	CLEAVED
hcv_all_swap_design_3_98_designed_4.pdb	CLEAVED
hcv_all_swap_design_3_48_designed_3.pdb	CLEAVED
hcv_all_swap_design_3_83_designed_6.pdb	CLEAVED
hcv_all_swap_design_1_82_designed_8.pdb	CLEAVED
hcv_all_swap_design_2_77_designed_5.pdb	CLEAVED
hcv_all_swap_design_3_59_designed_4.pdb	CLEAVED
hcv_all_swap_design_3_80_designed_4.pdb	CLEAVED
hcv_all_swap_design_3_28_designed_6.pdb	CLEAVED
hcv_all_swap_design_3_48_designed_6.pdb	CLEAVED
hcv_all_swap_design_3_70_designed_4.pdb	CLEAVED
hcv_all_swap_design_3_58_designed_4.pdb	CLEAVED
hcv_all_swap_design_0_45_designed_5.pdb	CLEAVED
hcv_all_swap_design_3_86_designed_2.pdb	CLEAVED
hcv_all_swap_design_3_61_designed_6.pdb	CLEAVED
hcv_all_swap_design_3_24_designed_6.pdb	CLEAVED
hcv_all_swap_design_3_59_designed_6.pdb	CLEAVED
hcv_all_swap_design_3_56_designed_6.pdb	CLEAVED
hcv_all_swap_design_3_89_designed_1.pdb	CLEAVED
hcv_all_swap_design_2_16_designed_7.pdb	CLEAVED
hcv_all_swap_design_2_89_designed_4.pdb	CLEAVED
hcv_all_swap_design_2_39_designed_1.pdb	CLEAVED
hcv_all_swap_design_2_23_designed_3.pdb	CLEAVED
hcv_all_swap_design_2_12_designed_0.pdb	CLEAVED
hcv_all_swap_design_2_90_designed_7.pdb	CLEAVED
hcv_all_swap_design_4_54_designed_3.pdb	CLEAVED
hcv_all_swap_design_2_69_designed_7.pdb	CLEAVED
hcv_all_swap_design_2_59_designed_3.pdb	CLEAVED
hcv_all_swap_design_4_74_designed_9.pdb	CLEAVED
hcv_all_swap_design_2_75_designed_2.pdb	CLEAVED
hcv_all_swap_design_2_11_designed_8.pdb	CLEAVED
hcv_all_swap_design_4_63_designed_0.pdb	CLEAVED
hcv_all_swap_design_2_38_designed_9.pdb	CLEAVED
hcv_all_swap_design_4_41_designed_8.pdb	CLEAVED
hcv_all_swap_design_4_67_designed_0.pdb	CLEAVED
hcv_all_swap_design_3_82_designed_0.pdb	CLEAVED
hcv_all_swap_design_2_40_designed_8.pdb	CLEAVED
hcv_all_swap_design_4_39_designed_9.pdb	CLEAVED
hcv_all_swap_design_0_41_designed_3.pdb	CLEAVED
hcv_all_swap_design_1_6_designed_8.pdb	CLEAVED
hcv_all_swap_design_2_65_designed_7.pdb	CLEAVED
hcv_all_swap_design_0_63_designed_6.pdb	CLEAVED
hcv_all_swap_design_2_41_designed_5.pdb	CLEAVED
hcv_all_swap_design_4_97_designed_4.pdb	CLEAVED
hcv_all_swap_design_0_78_designed_3.pdb	CLEAVED
hcv_all_swap_design_3_21_designed_8.pdb	CLEAVED
hcv_all_swap_design_4_58_designed_5.pdb	CLEAVED
hcv_all_swap_design_3_44_designed_7.pdb	CLEAVED
hcv_all_swap_design_2_1_designed_8.pdb	CLEAVED
hcv_all_swap_design_2_91_designed_6.pdb	CLEAVED
hcv_all_swap_design_3_65_designed_3.pdb	CLEAVED
hcv_all_swap_design_2_67_designed_4.pdb	CLEAVED
hcv_all_swap_design_4_14_designed_4.pdb	CLEAVED
hcv_all_swap_design_0_38_designed_0.pdb	CLEAVED
hcv_all_swap_design_2_23_designed_5.pdb	CLEAVED
hcv_all_swap_design_4_82_designed_1.pdb	CLEAVED
hcv_all_swap_design_4_22_designed_2.pdb	CLEAVED
hcv_all_swap_design_2_75_designed_8.pdb	CLEAVED
hcv_all_swap_design_3_20_designed_1.pdb	CLEAVED
hcv_all_swap_design_4_73_designed_7.pdb	CLEAVED
hcv_all_swap_design_2_46_designed_5.pdb	CLEAVED
hcv_all_swap_design_3_69_designed_8.pdb	CLEAVED
hcv_all_swap_design_4_75_designed_7.pdb	CLEAVED
hcv_all_swap_design_4_53_designed_1.pdb	CLEAVED
hcv_no_swap_sub_2_17_relaxed_1.pdb	CLEAVED
hcv_no_swap_sub_3_32_relaxed_1.pdb	CLEAVED
hcv_all_swap_sub_3_24_relaxed_1.pdb	CLEAVED
hcv_all_swap_design_0_16_designed_8.pdb	CLEAVED
hcv_all_swap_design_3_84_designed_1.pdb	CLEAVED
hcv_all_swap_design_4_90_designed_3.pdb	CLEAVED
hcv_all_swap_design_3_90_designed_1.pdb	CLEAVED
hcv_all_swap_design_3_60_designed_2.pdb	CLEAVED
hcv_all_swap_design_3_52_designed_4.pdb	CLEAVED
hcv_all_swap_design_3_86_designed_8.pdb	CLEAVED
hcv_all_swap_design_1_38_designed_3.pdb	CLEAVED
hcv_all_swap_design_0_9_designed_2.pdb	CLEAVED
hcv_all_swap_design_3_17_designed_2.pdb	CLEAVED
hcv_all_swap_design_3_93_designed_9.pdb	CLEAVED
hcv_all_swap_design_0_40_designed_0.pdb	CLEAVED
hcv_all_swap_design_0_94_designed_1.pdb	CLEAVED
hcv_all_swap_design_3_62_designed_8.pdb	CLEAVED
hcv_all_swap_design_3_86_designed_0.pdb	CLEAVED
hcv_all_swap_design_3_87_designed_0.pdb	CLEAVED
hcv_all_swap_design_3_34_designed_2.pdb	CLEAVED
hcv_all_swap_design_3_0_designed_8.pdb	CLEAVED
hcv_all_swap_design_3_55_designed_7.pdb	CLEAVED
hcv_all_swap_design_3_9_designed_7.pdb	CLEAVED
hcv_all_swap_design_0_94_designed_3.pdb	CLEAVED
hcv_all_swap_design_3_98_designed_8.pdb	CLEAVED
hcv_all_swap_design_1_48_designed_9.pdb	CLEAVED
hcv_all_swap_design_1_76_designed_9.pdb	CLEAVED
hcv_all_swap_design_3_34_designed_3.pdb	CLEAVED
hcv_all_swap_design_3_96_designed_8.pdb	CLEAVED
hcv_all_swap_design_4_5_designed_9.pdb	CLEAVED
hcv_all_swap_design_0_93_designed_0.pdb	CLEAVED
hcv_all_swap_design_3_73_designed_4.pdb	CLEAVED
hcv_all_swap_design_4_61_designed_4.pdb	CLEAVED
hcv_all_swap_design_2_59_designed_9.pdb	CLEAVED
hcv_all_swap_design_4_75_designed_5.pdb	CLEAVED
hcv_all_swap_design_3_58_designed_6.pdb	CLEAVED
